screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,retweet_status_id,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,symbols,hashtags,coordinates,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
Darren16593878,9.11E+17,3/1/2018 21:27,9.69E+17,"RT @NoemieBilas: <f0><U+009F><U+0092><U+00AF>% Clean and no flu<U+270C><f0><U+009F><U+008F><U+00BE>Book me @ATMLA for Anal, B/g, G/g, B/g/g, G/g/g, Hardcore, Solo, Fetish, &amp; Softcore https://t.co/g4xj…",43,0,FALSE,NA,TRUE,9.62E+17,NA,NA,NA,ht,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NoemieBilas ATMLA,856576069461266433 111121648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FlviaQueiroz9,7.69E+17,3/1/2018 21:27,9.69E+17,Ansiosa para o jogo do flu <U+2764><f0><U+009F><U+0092><U+009A>,0,2,FALSE,NA,FALSE,NA,NA,NA,NA,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECDC_Flu,1371668696,3/1/2018 21:27,9.69E+17,"RT @CDCFlu: #FluFact: Did you know you can get #flu more than once a season? More than one flu virus is circulating, which is why flu vacci…",79,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,NA,CDCFlu,16616061,NA,FluFact flu,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_R_Z_J_,2792228862,3/1/2018 21:27,9.69E+17,"@CrookedIntriago Hers a ? What are some of the best mixtape series? 
Wayne-Dedication
Cam &amp; Vado-Boss of Bosses
Joe… https://t.co/Xjm5G1NMWw",0,0,FALSE,NA,FALSE,NA,NA,17323985,CrookedIntriago,en,Twitter for Android,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323344297328641,CrookedIntriago,17323985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEF407,252428768,3/1/2018 21:27,9.69E+17,@LMCastle1 @WattzzD @chattycathy317 @Gameonearth1 @arizdare1 @6549lmartin @GareeDouglass @GCoinCollector… https://t.co/lOLoFiAt3Q,1,4,FALSE,NA,FALSE,NA,9.69E+17,1950907879,LMCastle1,en,Twitter for Windows,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323322663165953,LMCastle1 WattzzD chattycathy317 Gameonearth1 arizdare1 6549lmartin GareeDouglass GCoinCollector,1950907879 3481633093 2253787674 886300370938413056 1556314411 1849839132 708367303616802816 1429199480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BrianKavanaghNY,471454646,3/1/2018 21:27,9.69E+17,"As a public servant, sometimes you need to roll up your sleeves and get to work... other times you have to roll up… https://t.co/A0cDOp65IS",1,1,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323315188953093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MandyBehrx,473180961,3/1/2018 21:27,9.69E+17,I’ve been sick for weeks now and I’m not feeling any better yet so I’m going to watch some chicago fire episodes wi… https://t.co/OYhiQxvOI4,0,1,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323300152336384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedrogilio,193103738,3/1/2018 21:27,9.69E+17,Marcos Jr tem sido o grande destaque do time e já marcou sete gols. Gilberto é outro que vem jogando muito bem. São… https://t.co/frnnt0z14K,2,6,FALSE,NA,FALSE,NA,9.69E+17,193103738,pedrogilio,pt,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323292770406400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kit_kat4life,294437865,3/1/2018 21:27,9.69E+17,2nd flu test in about 2 months. Great <f0><U+009F><U+0099><U+0083>,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
littlemissrisk,39603590,3/1/2018 21:27,9.69E+17,I just realized the grey alien emoji looks like Madame Pong (my character from Aliens Ate My Homework) with the flu.,0,7,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarbaraboo,8.03E+17,3/1/2018 21:27,9.69E+17,Sitting in the ER.  I hear them tell the guy in the room next to me that he tested positive for the flu. He has sin… https://t.co/oBxgdKlHtn,0,5,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323270192287744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisDunkley4,7.28E+17,3/1/2018 21:27,9.69E+17,@Prettyboyfredo the flu spreads again <f0><U+009F><U+0098><U+0082> https://t.co/mW3LKG1yp6,0,0,TRUE,9.69E+17,FALSE,NA,NA,611848373,Prettyboyfredo,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/jasminejade2x/…,https://twitter.com/jasminejade2x/status/969322803085348864,Prettyboyfredo,611848373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DannyMx20,8.26E+17,3/1/2018 21:27,9.69E+17,RT @thedailybeast: A new study found that people with the flu could contaminate the air around them simply by breathing https://t.co/2fRxUH…,18,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,thedailybeast,16012783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MaxDubravin,881122022,3/1/2018 21:27,9.69E+17,RT @TheRealEzraA: ya mcm stood outside and caught the flu because he had too many holes in his jeans,70,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,TheRealEzraA,1517843282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acouple2x4s,2505000600,3/1/2018 21:27,9.69E+17,"@BarcodesTweets Vapor rub,OJ,Cold food,cold shower, flu meds and bed that’s the ultimate strat.",0,1,FALSE,NA,FALSE,NA,9.69E+17,2171316668,BarcodesTweets,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,BarcodesTweets,2171316668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JennacurranX,1212435900,3/1/2018 21:27,9.69E+17,Two days of the snow and I've caught the flu/cold... bed time<f0><U+009F><U+00A4><U+0092>,0,1,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dolanswolfie,2675457656,3/1/2018 21:27,9.69E+17,RT @AlexisRenG: F U flu https://t.co/NsIMWbyxhs,2311,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPhone,9.69E+17,http://pbs.twimg.com/media/DXJdEueVoAAR6xl.jpg,https://twitter.com/AlexisRenG/status/968939297066774528/photo/1,NA,NA,NA,AlexisRenG,173676124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
graNOLINbar,47849077,3/1/2018 21:27,9.69E+17,Uhh I think Bria getting the flu,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tal_Fernandes,2790524785,3/1/2018 21:26,9.69E+17,Pegar esse engradado que ganhei do Michael no Fla X Flu .,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EdisonMSMaciel,169517099,3/1/2018 21:26,9.69E+17,"@cavalinhodoffc Este é a prova maior de que Deus existe, e que ingratidão não leva ninguém a lugar nenhum. Acabou c… https://t.co/AkZiVwkuw8",0,0,FALSE,NA,FALSE,NA,9.69E+17,7.79E+17,cavalinhodoffc,pt,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323136473882624,cavalinhodoffc,7.79E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SrTheus1,374627611,3/1/2018 21:26,9.69E+17,"RT @SrLucasMartins: Urubu dando feliz aniversario pro Rio: Imagem da Zona Sul da cidade, lar dos ricos. Berços dele, do Flu e do Bota.

Vas…",2,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,SrLucasMartins,4025560097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_GabOliveira,181838800,3/1/2018 21:26,9.69E+17,"Queria muito tomar uma cervejinha vendo o jogo do Flu hoje, mas nem beber eu estou podendo

VAI TOMAR NO CU!",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,pt,Twitter Web Client,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gordon_tony,358526224,3/1/2018 21:26,9.69E+17,@rachelgal22 @McLaren_67 the amount on here with female flu is unbelievable!,0,0,FALSE,NA,FALSE,NA,9.69E+17,380055095,rachelgal22,en,Twitter Web Client,NA,NA,NA,NA,NA,NA,rachelgal22 McLaren_67,380055095 414248509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lipc18,9.63E+17,3/1/2018 21:26,9.69E+17,RT @Cougar_Kym: Haven’t been on here for quite a while due to having the flu <f0><U+009F><U+00A4><U+00A7> but I’m back and ready to be naughty <f0><U+009F><U+0098><U+009C><f0><U+009F><U+0092><U+008B> https://t.co/Reppu1s…,7,0,FALSE,NA,TRUE,9.56E+17,NA,NA,NA,en,Twitter Lite,NA,NA,NA,NA,NA,NA,Cougar_Kym,7.47E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValencia13,1246345974,3/1/2018 21:26,9.69E+17,"RT @JoshNorris: After weighing 279 lbs at the Senior Bowl due to the flu, West Georgia OT Desmond Harrison weighed in at 292 lbs at the NFL…",8,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,JoshNorris,19752348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ferjun_FLU,60174349,3/1/2018 21:26,9.69E+17,@Garcia_Itaipu Mas tem muito dinheiro moldando esse meio... tenho certeza.,0,1,FALSE,NA,FALSE,NA,9.69E+17,2250286856,Garcia_Itaipu,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,Garcia_Itaipu,2250286856,NA,NA,NA,97bcdfca1a2dca59,city,Rio de Janeiro,"Rio de Janeiro, Brazil",BR,Brazil,-265.4119984,Polygon
FLU_2Cold,26947347,3/1/2018 21:26,9.69E+17,"@rileycrawford31 Nah, I'm good. After 24 hours with you they'll bring you back willingly <f0><U+009F><U+0098><U+0082>",0,0,FALSE,NA,FALSE,NA,9.69E+17,2791951841,rileycrawford31,en,Twitter for Android,NA,NA,NA,NA,NA,NA,rileycrawford31,2791951841,NA,NA,NA,3de739b7819a3b2d,city,Worthington,"Worthington, OH",US,United States,-83.055384 -82.948592 -82.948592 -83.055384 40.074153 40.074153 40.133801 40.133801,Polygon
SpassosRJ,159358703,3/1/2018 21:26,9.69E+17,@SporTV Enquanto não voltar pro Flu<U+2665><U+FE0F><f0><U+009F><U+0087><U+00B9><f0><U+009F><U+0087><U+00AF><f0><U+009F><U+0092><U+009A> não vai ser feliz.,0,0,FALSE,NA,FALSE,NA,9.69E+17,12652472,SporTV,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,SporTV,12652472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ksalt_,223742650,3/1/2018 21:26,9.69E+17,@jamsyboyy asking for the flu https://t.co/f1vPVpCIHh,0,0,FALSE,NA,FALSE,NA,NA,341813972,jamsyboyy,en,Twitter for iPhone,NA,NA,NA,NA,newsflare.com/video/186359/w…,https://www.newsflare.com/video/186359/weather-nature/man-from-florida-in-his-underwear-dives-into-scottish-snow,jamsyboyy,341813972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6549lmartin,1849839132,3/1/2018 21:26,9.69E+17,RT @LMCastle1: @Gameonearth1 @RufusHaybron @DEF407 @WattzzD @chattycathy317 @arizdare1 @6549lmartin @GareeDouglass @GCoinCollector @ckolaci…,2,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPad,NA,NA,NA,NA,NA,NA,LMCastle1 Gameonearth1 RufusHaybron DEF407 WattzzD chattycathy317 arizdare1 6549lmartin GareeDouglass GCoinCollector,1950907879 886300370938413056 923107037852131331 252428768 3481633093 2253787674 1556314411 1849839132 708367303616802816 1429199480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baconsmith2,327684866,3/1/2018 21:26,9.69E+17,I gymmed!  First time since the flu that I am back to previous levels on free weights. Yay! Still have 5 pounds to… https://t.co/QYqcWcGwqG,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969322998451798016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jodieldavidson,274182517,3/1/2018 21:26,9.69E+17,I’m going to need lots of this to cover up these flu induced undereye bags. <f0><U+009F><U+00A4><U+0092><f0><U+009F><U+0098><U+00A9>The peach colour… https://t.co/fNMlMVMzj2,0,1,FALSE,NA,FALSE,NA,NA,NA,NA,en,Instagram,NA,NA,NA,NA,instagram.com/p/Bfy6yV5jHZt/,https://www.instagram.com/p/Bfy6yV5jHZt/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leticiamoura23,259969399,3/1/2018 21:26,9.69E+17,Só queria descer aqui no engenhão pra assistir esse jogo do Flu <f0><U+009F><U+0098><U+009E>,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MyAlliesNews,2397975692,3/1/2018 21:26,9.69E+17,All Children Should Have to Get the Flu Shot https://t.co/LJVtR8qF7A,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,MyAllies Breaking News,NA,NA,NA,NA,goo.gl/xNLQS9,https://goo.gl/xNLQS9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The_HerbalGuide,12873222,3/1/2018 21:26,9.69E+17,"8 Natural Alternatives to the Flu Shot, https://t.co/5DluhBTseh",1,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,moreFollow.com,NA,NA,NA,NA,thecompleteherbalguide.com/entries/cold-f…,https://thecompleteherbalguide.com/entries/cold-flu/5-natural-alternatives-to-the-flu-shot/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ferjun_FLU,60174349,3/1/2018 21:26,9.69E+17,Alô @PMERJ https://t.co/DmHXlCI20J,0,0,TRUE,9.69E+17,FALSE,NA,NA,NA,NA,und,Twitter for Android,NA,NA,NA,NA,twitter.com/gduvivier/stat…,https://twitter.com/gduvivier/status/969304676448563202,PMERJ,1436024858,NA,NA,NA,97bcdfca1a2dca59,city,Rio de Janeiro,"Rio de Janeiro, Brazil",BR,Brazil,-265.4119984,Polygon
NCB_FLU,7.37E+17,3/1/2018 21:26,9.69E+17,"FLUMINENSE ESCALADO: Júlio César, Renato Chaves, Gum (C), Ibañez, Gilberto, Jadson, Richard, Sornoza, Marlon, Marco… https://t.co/0TlRurxQvz",0,6,FALSE,NA,FALSE,NA,NA,NA,NA,es,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969322896706494473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6549lmartin,1849839132,3/1/2018 21:26,9.69E+17,RT @Gameonearth1: @LMCastle1 @RufusHaybron @DEF407 @WattzzD @chattycathy317 @arizdare1 @6549lmartin @GareeDouglass @GCoinCollector @ckolaci…,2,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPad,NA,NA,NA,NA,NA,NA,Gameonearth1 LMCastle1 RufusHaybron DEF407 WattzzD chattycathy317 arizdare1 6549lmartin GareeDouglass GCoinCollector,886300370938413056 1950907879 923107037852131331 252428768 3481633093 2253787674 1556314411 1849839132 708367303616802816 1429199480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGervasio26,8.90E+17,3/1/2018 21:25,9.69E+17,"@Reikrauss Acho que errei em falar que o Fla não deveria ter poupado contra o Flu, imagina como estaria ontem se ti… https://t.co/2aEPU8fM7O",0,0,FALSE,NA,FALSE,NA,9.69E+17,35562631,Reikrauss,pt,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969322870051692545,Reikrauss,35562631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
